,Swedish,English,num_rights
417,subst,noun,0
418,fält,field,0
419,resten,rest,0
420,korrekt,correct,0
421,kunna,able,0
422,pund,pound,0
423,klar,done,0
424,skönhet,beauty,0
425,enhet,drive,0
426,stod,stood,0
427,innehålla,contain,0
428,främre,front,0
429,undervisa,teach,0
430,vecka,week,0
431,slutlig,final,0
432,gav,gave,0
433,grön,green,0
434,ack,oh,0
435,sammanfattning,quick,0
436,utveckla,develop,0
437,ocean,ocean,0
438,varm,warm,0
439,fri,free,0
440,minut,minute,0
441,stark,strong,0
442,speciell,special,0
443,sinne,mind,0
444,bakom,behind,0
445,klar,clear,0
446,svans,tail,0
447,producera,produce,0
448,faktum,fact,0
449,space,space,0
450,hört,heard,0
451,bäst,best,0
452,timme,hour,0
453,bättre,better,0
454,SANT,TRUE,0
455,under,during,0
456,hundra,hundred,0
457,fem,five,0
458,minnas,remember,0
459,steg,step,0
460,tidig,early,0
461,håll,hold,0
462,väster,west,0
463,jord,ground,0
464,intresse,interest,0
465,nå,reach,0
466,snabb,fast,0
467,verb,verb,0
468,sjunger,sing,0
469,lyssna,listen,0
470,sex,six,0
471,tabell,table,0
472,resor,travel,0
473,mindre,less,0
474,morgon,morning,0
475,tio,ten,0
476,enkel,simple,0
477,flera,several,0
478,vokal,vowel,0
479,mot,toward,0
480,krig,war,0
481,låg,lay,0
482,mot,against,0
483,mönster,pattern,0
484,långsam,slow,0
485,centrum,center,0
486,kärlek,love,0
487,personen,person,0
488,pengar,money,0
489,tjäna,serve,0
490,synas,appear,0
491,väg,road,0
492,karta,map,0
493,regn,rain,0
494,regel,rule,0
495,regera,govern,0
496,dra,pull,0
497,förkylning,cold,0
498,meddelande,notice,0
499,röst,voice,0
500,energi,energy,0
501,jakt,hunt,0
502,trolig,probable,0
503,bädd,bed,0
504,bror,brother,0
505,ägg,egg,0
506,ritt,ride,0
507,cell,cell,0
508,tro,believe,0
509,kanske,perhaps,0
510,plocka,pick,0
511,plötslig,sudden,0
512,räkna,count,0
513,kvadrat,square,0
514,anledningen,reason,0
515,längd,length,0
516,representerar,represent,0
517,teknikområdet,art,0
518,ämne,subject,0
519,region,region,0
520,storlek,size,0
521,varierar,vary,0
522,sedimentera,settle,0
523,tala,speak,0
524,vikt,weight,0
525,allmän,general,0
526,is,ice,0
527,materia,matter,0
528,cirkel,circle,0
529,par,pair,0
530,inkluderar,include,0
531,divide,divide,0
532,stavelse,syllable,0
533,kände,felt,0
534,stors,grand,0
535,boll,ball,0
536,ännu,yet,0
537,våg,wave,0
538,släpp,drop,0
539,hjärta,heart,0
540,jag,am,0
541,föreliggande,present,0
542,tung,heavy,0
543,dans,dance,0
544,motor,engine,0
545,ställning,position,0
546,beväpnar,arm,0
547,bred,wide,0
548,segel,sail,0
549,materialet,material,0
550,fraktion,fraction,0
551,skog,forest,0
552,sitta,sit,0
553,ras,race,0
554,fönster,window,0
555,lagra,store,0
556,sommar,summer,0
557,tåg,train,0
558,sömn,sleep,0
559,bevisa,prove,0
560,ensam,lone,0
561,ben,leg,0
562,övning,exercise,0
563,vägg,wall,0
564,fångst,catch,0
565,fäste,mount,0
566,vill,wish,0
567,himmelsblå,sky,0
568,ombord,board,0
569,glädje,joy,0
570,vinter,winter,0
571,satellit,sat,0
572,skriven,written,0
573,vild,wild,0
574,instrumentet,instrument,0
575,hålls,kept,0
576,glas,glass,0
577,gräs,grass,0
578,ko,cow,0
579,jobb,job,0
580,kanten,edge,0
581,tecken,sign,0
582,besök,visit,0
583,förbi,past,0
584,mjuk,soft,0
585,kul,fun,0
586,ljust,bright,0
587,gas,gas,0
588,väder,weather,0
589,månad,month,0
590,miljoner,million,0
591,bära,bear,0
592,yta,finish,0
593,lycklig,happy,0
594,hoppas,hope,0
595,blomma,flower,0
596,kläder,clothe,0
597,främmande,strange,0
598,borta,gone,0
599,handel,trade,0
600,melodi,melody,0
601,resa,trip,0
602,kontor,office,0
603,motta,receive,0
604,rad,row,0
605,mun,mouth,0
606,exakta,exact,0
607,symbol,symbol,0
608,dö,die,0
609,minst,least,0
610,besvär,trouble,0
611,rop,shout,0
612,utom,except,0
613,skrev,wrote,0
614,frö,seed,0
615,ton,tone,0
616,ansluta,join,0
617,föreslår,suggest,0
618,ren,clean,0
619,paus,break,0
620,damen,lady,0
621,gård,yard,0
622,stiga,rise,0
623,dålig,bad,0
624,smäll,blow,0
625,olja,oil,0
626,blod,blood,0
627,Rör,touch,0
628,växte,grew,0
629,cent,cent,0
630,blanda,mix,0
631,lag,team,0
632,tråd,wire,0
633,kostnad,cost,0
634,förlorat,lost,0
635,brun,brown,0
636,slitage,wear,0
637,trädgård,garden,0
638,lika,equal,0
639,skickat,sent,0
640,välja,choose,0
641,föll,fell,0
642,passa,fit,0
643,flöde,flow,0
644,verkligt,fair,0
645,bank,bank,0
646,samla,collect,0
647,spara,save,0
648,kontroll,control,0
649,decimala,decimal,0
650,örat,ear,0
651,annars,else,0
652,ganska,quite,0
653,bröt,broke,0
654,fall,case,0
655,mitten,middle,0
656,döda,kill,0
657,son,son,0
658,sjö,lake,0
659,ögonblick,moment,0
660,skala,scale,0
661,högt,loud,0
662,fjäder,spring,0
663,observera,observe,0
664,barn,child,0
665,rak,straight,0
666,konsonant,consonant,0
667,nation,nation,0
668,ordbok,dictionary,0
669,mjölk,milk,0
670,hastighet,speed,0
671,metod,method,0
672,organ,organ,0
673,betala,pay,0
674,okänd,age,0
675,sektion,section,0
676,klänning,dress,0
677,moln,cloud,0
678,överraskning,surprise,0
679,ro,quiet,0
680,sten,stone,0
681,liten,tiny,0
682,klättra,climb,0
683,sval,cool,0
684,konstruktion,design,0
685,dålig,poor,0
686,mycket,lot,0
687,experiment,experiment,0
688,botten,bottom,0
689,nyckel,key,0
690,järn,iron,0
691,singel,single,0
692,pinne,stick,0
693,platt,flat,0
694,tjugo,twenty,0
695,hud,skin,0
696,le,smile,0
697,veck,crease,0
698,hål,hole,0
699,hoppa,jump,0
700,barn,baby,0
701,åtta,eight,0
702,by,village,0
703,möts,meet,0
704,rot,root,0
705,köpa,buy,0
706,höja,raise,0
707,lösa,solve,0
708,metall,metal,0
709,huruvida,whether,0
710,tryck,push,0
711,sju,seven,0
712,punkt,paragraph,0
713,tredje,third,0
714,skall,shall,0
715,vänt,held,0
716,hår,hair,0
717,beskriva,describe,0
718,kock,cook,0
719,våningen,floor,0
720,antingen,either,0
721,resultat,result,0
722,bränna,burn,0
723,kulle,hill,0
724,säker,safe,0
725,cat,cat,0
726,talet,century,0
727,överväga,consider,0
728,typ,type,0
729,lag,law,0
730,bitars,bit,0
731,kust,coast,0
732,kopia,copy,0
733,fras,phrase,0
734,tyst,silent,0
735,tall,tall,0
736,sand,sand,0
737,jord,soil,0
738,rulle,roll,0
739,temperatur,temperature,0
740,finger,finger,0
741,industrin,industry,0
742,värde,value,0
743,slagsmål,fight,0
744,lie,lie,0
745,slå,beat,0
746,excitera,excite,0
747,naturlig,natural,0
748,vy,view,0
749,känsla,sense,0
750,kapital,capital,0
751,kommer inte,won’t,0
752,stol,chair,0
753,fara,danger,0
754,frukt,fruit,0
755,rik,rich,0
756,tjock,thick,0
757,soldat,soldier,0
758,processen,process,0
759,fungera,operate,0
760,praktiken,practice,0
761,separat,separate,0
762,svårt,difficult,0
763,läkare,doctor,0
764,vänligen,please,0
765,skydda,protect,0
766,middagstid,noon,0
767,gröda,crop,0
768,moderna,modern,0
769,elementet,element,0
770,hit,hit,0
771,studenten,student,0
772,hörn,corner,0
773,parti,party,0
774,försörjning,supply,0
775,vars,whose,0
776,lokalisera,locate,0
777,ring,ring,0
778,karaktär,character,0
779,insekt,insect,0
780,fångad,caught,0
781,period,period,0
782,indikerar,indicate,0
783,radio,radio,0
784,talade,spoke,0
785,atomen,atom,0
786,humant,human,0
787,historia,history,0
788,effekt,effect,0
789,elektrisk,electric,0
790,förvänta,expect,0
791,ben,bone,0
792,skena,rail,0
793,föreställa sig,imagine,0
794,tillhandahålla,provide,0
795,enas,agree,0
796,sålunda,thus,0
797,mild,gentle,0
798,kvinna,woman,0
799,kapten,captain,0
800,gissa,guess,0
801,nödvändig,necessary,0
802,skarp,sharp,0
803,vinge,wing,0
804,skapa,create,0
805,granne,neighbor,0
806,tvätt,wash,0
807,slagträ,bat,0
808,snarare,rather,0
809,publiken,crowd,0
810,majs,corn,0
811,jämföra,compare,0
812,dikt,poem,0
813,sträng,string,0
814,klocka,bell,0
815,bero,depend,0
816,kött,meat,0
817,gnida,rub,0
818,röret,tube,0
819,känd,famous,0
820,dollarn,dollar,0
821,ström,stream,0
822,rädsla,fear,0
823,syn,sight,0
824,tunn,thin,0
825,triangel,triangle,0
826,planet,planet,0
827,skynda,hurry,0
828,chef,chief,0
829,koloni,colony,0
830,klocka,clock,0
831,gruva,mine,0
832,slips,tie,0
833,ange,enter,0
834,större,major,0
835,färsk,fresh,0
836,sök,search,0
837,skicka,send,0
838,gul,yellow,0
839,pistol,gun,0
840,tillåta,allow,0
841,tryck,print,0
842,död,dead,0
843,fläck,spot,0
844,öken,desert,0
845,kostym,suit,0
846,ström,current,0
847,lift,lift,0
848,ros,rose,0
849,anländer,arrive,0
850,mästare,master,0
851,spår,track,0
852,förälder,parent,0
853,stranden,shore,0
854,delning,division,0
855,ark,sheet,0
856,substans,substance,0
857,gynna,favor,0
858,ansluta,connect,0
859,inlägg,post,0
860,spendera,spend,0
861,ackord,chord,0
862,fett,fat,0
863,glad,glad,0
864,original,original,0
865,andel,share,0
866,station,station,0
867,pappa,dad,0
868,bröd,bread,0
869,debitera,charge,0
870,ordentlig,proper,0
871,baren,bar,0
872,erbjudandet,offer,0
873,segment,segment,0
874,slav,slave,0
875,anka,duck,0
876,omedelbar,instant,0
877,marknad,market,0
878,grad,degree,0
879,befolka,populate,0
880,fågelunge,chick,0
881,kära,dear,0
882,fiende,enemy,0
883,svara,reply,0
884,dryck,drink,0
885,inträffa,occur,0
886,stöd,support,0
887,tal,speech,0
888,natur,nature,0
889,intervall,range,0
890,ånga,steam,0
891,rörelse,motion,0
892,bana,path,0
893,vätska,liquid,0
894,logga,log,0
895,innebar,meant,0
896,kvoten,quotient,0
897,tänder,teeth,0
898,skal,shell,0
899,hals,neck,0
900,syre,oxygen,0
901,socker,sugar,0
902,död,death,0
903,ganska,pretty,0
904,Förmåga,skill,0
905,kvinnor,women,0
906,säsong,season,0
907,lösning,solution,0
908,magnet,magnet,0
909,silver,silver,0
910,tack,thank,0
911,gren,branch,0
912,matchen,match,0
913,suffixet,suffix,0
914,speciellt,especially,0
915,fig,fig,0
916,rädd,afraid,0
917,enormt,huge,0
918,syster,sister,0
919,stål,steel,0
920,diskutera,discuss,0
921,framåt,forward,0
922,liknande,similar,0
923,guide,guide,0
924,erfarenhet,experience,0
925,poäng,score,0
926,äpple,apple,0
927,köpt,bought,0
928,ledde,led,0
929,tonhöjd,pitch,0
930,kappa,coat,0
931,massa,mass,0
932,kort,card,0
933,band,band,0
934,rep,rope,0
935,halka,slip,0
936,win,win,0
937,dröm,dream,0
938,kväll,evening,0
939,tillstånd,condition,0
940,foder,feed,0
941,verktyg,tool,0
942,totalt,total,0
943,grundläggande,basic,0
944,lukt,smell,0
945,dal,valley,0
946,eller,nor,0
947,dubbel,double,0
948,säte,seat,0
949,fortsätta,continue,0
950,blocket,block,0
951,diagram,chart,0
952,keps,hat,0
953,sälja,sell,0
954,framgång,success,0
955,företaget,company,0
956,subtrahera,subtract,0
957,händelse,event,0
958,särskilt,particular,0
959,affär,deal,0
960,simma,swim,0
961,term,term,0
962,motsatt,opposite,0
963,fru,wife,0
964,sko,shoe,0
965,innovation,innovation,0
966,spridning,spread,0
967,ordna,arrange,0
968,läger,camp,0
969,uppfinna,invent,0
970,bomull,cotton,0
971,Född,born,0
972,bestämma,determine,0
973,quart,quart,0
974,nio,nine,0
975,lastbil,truck,0
976,buller,noise,0
977,nivå,level,0
978,chans,chance,0
979,samla,gather,0
980,butik,shop,0
981,sträcka,stretch,0
982,kasta,throw,0
983,glans,shine,0
984,egenskap,property,0
985,kolonn,column,0
986,molekyl,molecule,0
987,välj,select,0
988,fel,wrong,0
989,grå,gray,0
990,upprepning,repeat,0
991,kräva,require,0
992,bred,broad,0
993,förbereda,prepare,0
994,salt,salt,0
995,näsa,nose,0
996,plural,plural,0
997,ilska,anger,0
998,krav,claim,0
999,kontinent,continent,0
